danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.245,0.0153,4,-27.22,0,0.0397,0.934,1.97E-01,0.082,0.0751,137.12,audio_features,3p8QDe40s3FI3aUQUxmDAk,spotify:track:3p8QDe40s3FI3aUQUxmDAk,https://api.spotify.com/v1/tracks/3p8QDe40s3FI3aUQUxmDAk,https://api.spotify.com/v1/audio-analysis/3p8QDe40s3FI3aUQUxmDAk,518000,4
0.852,0.723,5,-4.008,0,0.0713,0.417,0.00E+00,0.108,0.326,85.029,audio_features,0UsD5SCb1OPZQ6tXJxeFA3,spotify:track:0UsD5SCb1OPZQ6tXJxeFA3,https://api.spotify.com/v1/tracks/0UsD5SCb1OPZQ6tXJxeFA3,https://api.spotify.com/v1/audio-analysis/0UsD5SCb1OPZQ6tXJxeFA3,146293,4
0.393,0.146,2,-9.884,1,0.0335,0.868,0.00E+00,0.0983,0.0793,140.56,audio_features,1cklFKuIR5cxSX0zSisF2p,spotify:track:1cklFKuIR5cxSX0zSisF2p,https://api.spotify.com/v1/tracks/1cklFKuIR5cxSX0zSisF2p,https://api.spotify.com/v1/audio-analysis/1cklFKuIR5cxSX0zSisF2p,223720,3
0.591,0.547,2,-8.596,0,0.0284,0.126,0.00E+00,0.174,0.253,116.017,audio_features,5gvNoZjNliTlO4H2H3D0hn,spotify:track:5gvNoZjNliTlO4H2H3D0hn,https://api.spotify.com/v1/tracks/5gvNoZjNliTlO4H2H3D0hn,https://api.spotify.com/v1/audio-analysis/5gvNoZjNliTlO4H2H3D0hn,196008,4
0.68,0.248,1,-17.465,0,0.0328,0.696,8.88E-06,0.0839,0.812,112.806,audio_features,5atQ2haKP5LT65WM0KUts3,spotify:track:5atQ2haKP5LT65WM0KUts3,https://api.spotify.com/v1/tracks/5atQ2haKP5LT65WM0KUts3,https://api.spotify.com/v1/audio-analysis/5atQ2haKP5LT65WM0KUts3,310160,4
0.191,0.441,4,-13.191,1,0.0751,0.588,9.93E-02,0.11,0.0409,86.073,audio_features,7InHgiDyJ0GtvnIVslWNPK,spotify:track:7InHgiDyJ0GtvnIVslWNPK,https://api.spotify.com/v1/tracks/7InHgiDyJ0GtvnIVslWNPK,https://api.spotify.com/v1/audio-analysis/7InHgiDyJ0GtvnIVslWNPK,414467,3
0.265,0.305,11,-10.954,0,0.0359,0.37,2.14E-02,0.111,0.0677,131.591,audio_features,5bv87T8PtI8c1KSUn2QRsz,spotify:track:5bv87T8PtI8c1KSUn2QRsz,https://api.spotify.com/v1/tracks/5bv87T8PtI8c1KSUn2QRsz,https://api.spotify.com/v1/audio-analysis/5bv87T8PtI8c1KSUn2QRsz,226818,4
0.476,0.47,7,-8.893,0,0.0365,0.577,1.85E-02,0.112,0.244,148.159,audio_features,4b7hM5zVEYICRZYa1PvIf0,spotify:track:4b7hM5zVEYICRZYa1PvIf0,https://api.spotify.com/v1/tracks/4b7hM5zVEYICRZYa1PvIf0,https://api.spotify.com/v1/audio-analysis/4b7hM5zVEYICRZYa1PvIf0,210664,3
0.51,0.43,9,-10.597,0,0.0428,0.624,6.03E-02,0.111,0.0888,127.926,audio_features,15mbNyhZQdGkG7Z0J1DcUP,spotify:track:15mbNyhZQdGkG7Z0J1DcUP,https://api.spotify.com/v1/tracks/15mbNyhZQdGkG7Z0J1DcUP,https://api.spotify.com/v1/audio-analysis/15mbNyhZQdGkG7Z0J1DcUP,246370,4
0.417,0.551,8,-6.456,0,0.174,0.73,1.66E-03,0.0907,0.444,87.614,audio_features,2t16D9V5FmmRAJjsSpwvZf,spotify:track:2t16D9V5FmmRAJjsSpwvZf,https://api.spotify.com/v1/tracks/2t16D9V5FmmRAJjsSpwvZf,https://api.spotify.com/v1/audio-analysis/2t16D9V5FmmRAJjsSpwvZf,174568,4
0.46,0.426,0,-7.286,0,0.218,0.232,7.54E-02,0.0847,0.432,88.802,audio_features,18wCJcoFmXZ0jfrFhF6cYS,spotify:track:18wCJcoFmXZ0jfrFhF6cYS,https://api.spotify.com/v1/tracks/18wCJcoFmXZ0jfrFhF6cYS,https://api.spotify.com/v1/audio-analysis/18wCJcoFmXZ0jfrFhF6cYS,157477,4
