episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_secs,time_signature
"Boomerang S1E6 - ""Homecoming""",Love You Too Much,Lucky Daye,4XjnaL1dDauhuvNFz1SLwW,0.399,0.473,"G♯,A♭",-11.375,FALSE,0.126,0.824,1.59E-05,0.117,0.278,117.625,466,5
"Lucifer S4E10 - ""Who's da New King of Hell?""",The Legend Begins,"MAWR, Silverberg",4WutHA9jWqFRkXwfbhU1WH,0.618,0.729,G,-7.467,TRUE,0.0258,0.00706,1.51E-02,0.385,0.757,80.016,226,4
"Power S6E1 - ""Murderers""",R.A.N.,Miguel,1kbGBcmr0vrs3hnpMbPCYd,0.538,0.626,F,-8.272,TRUE,0.0455,0.115,1.00E-05,0.137,0.241,132.908,243,4
"Lucifer S4E4 - ""All About Eve""",Silvia (Roboberget Remix),Miike Snow,0fFHjnqpSpV8XuWyCKf6XU,0.697,0.892,G,-3.358,FALSE,0.0592,0.0131,2.50E-02,0.299,0.0374,125.015,478,4
"The Umbrella Academy S1E4 - ""Man on the Moon""",Blood Like Lemonade,Morcheeba,7bsPIUEEOuL5WlOPcYUrYx,0.653,0.59,F,-9.649,TRUE,0.104,0.000942,3.78E-01,0.2,0.625,168.054,293,4
"Sex Education S1E1 - ""Episode 1""",Mannish Boy,Muddy Waters,0rFO7lAmgl8IaxCfZ5DreP,0.633,0.335,D,-13.42,TRUE,0.0822,0.642,0.00E+00,0.0974,0.563,108.472,176,3
"The Umbrella Academy S1E3 - ""Extra Ordinary""",Sinnerman,Nina Simone,6puDH4jNRgeRpMhzgMbO53,0.436,0.552,B,-12.838,FALSE,0.101,0.676,9.08E-06,0.0965,0.642,147.706,620,4
"Lucifer S4E1 - ""Everything's Okay""",The Beast,Old Caltone,75Xkf5nd2iGGFIWEYk4COu,0.239,0.285,C,-11.071,FALSE,0.0445,0.832,1.63E-02,0.203,0.0792,111.593,232,1
"Atypical S3E7 - ""Shrinkage""",Beating Hearts,"Paige, Nikki Era",5iJHDCtqv2nO4v8i8nwbdh,0.78,0.581,A,-6.832,TRUE,0.0287,0.00835,2.24E-03,0.177,0.567,119.984,171,4
"The Umbrella Academy S1E2 - ""Run Boy Run""",Never Tear Us Apart,Paloma Faith,0xrpX0jBdZRJcYIyraRwFK,0.539,0.497,C,-7.428,TRUE,0.0267,0.352,1.49E-04,0.148,0.177,96.558,185,3
