episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,synced
N/A,Bad Things (with Camila Cabello),Machine Gun Kelly,1PSBzsahR2AKwLJgx8ehB,0.675,0.69,D,-4.761,NA,0.132,0.21,0,0.287,0.272,137,4,NO
"The Good Doctor S2E12 - ""Aftermath""",Hold On,Bishop Briggs,06hpxKggHmCHMKbe2K4bKI,0.273,0.538,C,-5.218,FALSE,0.049,0.211,0,0.13,0.223,87,4,YES
N/A,Look What You Made Me Do,Taylor Swift,6uFsE1JgZ20EXyU0JQZbU,0.773,0.68,A,-6.378,NA,0.141,0.213,0.000016,0.122,0.497,128,4,NO
N/A,Despacito - Remix,Luis Fonsi,5CtI0qwDJkDQGwXD1H1cL,0.694,0.815,D,-4.328,NA,0.12,0.229,0,0.0924,0.813,88,4,NO
"Euphoria S1E4 - ""Shook One Pt. II""",Mount Everest,Labrinth,18wCJcoFmXZ0jfrFhF6cYS,0.46,0.426,C,-7.286,FALSE,0.218,0.232,0.0754,0.0847,0.432,88,4,YES
N/A,Stay (with Alessia Cara),Zedd,0dA2Mk56wEzDgegdC6R17,0.679,0.634,F,-5.024,NA,0.0654,0.232,0,0.115,0.498,102,4,NO
N/A,Ahora Dice,Chris Jeday,22eADXu8DfOAUEDw4vU8q,0.708,0.693,"F♯,G♭",-5.516,NA,0.138,0.246,0,0.129,0.427,143,4,NO
"Sex Education S1E1 - ""Episode 1""",I Can't Stand the Rain,Ann Peebles,0CcL4kSHKIEwF3IW0BGgb6,0.727,0.387,"C♯,D♭",-12.333,TRUE,0.0412,0.248,0.0102,0.0625,0.966,160,4,YES
"Euphoria S1E5 - ""'03 Bonnie and Clyde""",Run the Road,Santigold,3UyVG4yc9wc3rz3Trw1iHd,0.657,0.784,"G♯,A♭",-5.005,FALSE,0.102,0.249,0.000204,0.368,0.582,183,4,YES
N/A,Silence,Marshmello,7vGuf3Y35N4wmASOKLUVV,0.52,0.761,E,-3.093,NA,0.0853,0.256,0.000005,0.17,0.286,141,4,NO
N/A,Symphony (feat. Zara Larsson),Clean Bandit,1x5sYLZiu9r5E43kMlt9f,0.707,0.629,C,-4.581,NA,0.0563,0.259,0.000016,0.138,0.457,122,4,NO
"Euphoria S1E8 - ""And Salt the Earth Behind You""",My Body Is a Cage,Arcade Fire,03i62TCU8OBzX7HutmWqVf,0.287,0.48,C,-8.69,FALSE,0.0334,0.31,0.0608,0.287,0.324,81,4,YES
"Lucifer S4E10 - ""Who's da New King of Hell?""",Heroes & Legends,3 One Oh,6JMRQPfLQSvDcVRBwfSjsm,0.621,0.814,A,-6.667,TRUE,0.267,0.317,6.51E-06,0.144,0.317,61,4,YES
"Euphoria S1E6 - ""The Next Episode""",Dope House (Chopped & Screwed),Black Oshin,4j1UDKKEWqo5impVUBmMvC,0.877,0.47,G,-9.313,FALSE,0.074,0.344,0.00481,0.119,0.113,105,4,YES
"Lucifer S4E4 - ""All About Eve""",Hypnos,"Delhia De France, Robot Koch",6UTJFpxupU6LtSOMKTZUJN,0.187,0.622,D,-12.167,FALSE,0.0776,0.345,0.357,0.108,0.0865,184,4,YES
"The Umbrella Academy S1E2 - ""Run Boy Run""",Never Tear Us Apart,Paloma Faith,0xrpX0jBdZRJcYIyraRwFK,0.539,0.497,C,-7.428,TRUE,0.0267,0.352,0.000149,0.148,0.177,96,3,YES
"Lucifer S4E3 - ""O, Ye of Little Faith, Father""",World on Fire,Klergy,5bv87T8PtI8c1KSUn2QRsz,0.265,0.305,B,-10.954,FALSE,0.0359,0.37,0.0214,0.111,0.0677,131,4,YES
"Marvel's Cloak & Dagger S2E2 - ""White Lines""","Numb - From ""Cloak & Dagger: Sea","Aubrey Joseph, Dan Hening",2QJCwttyjfqbuaLjYj2HTF,0.827,0.537,G,-8.116,FALSE,0.0412,0.372,2.56E-05,0.132,0.683,104,3,YES
"The Umbrella Academy S1E3 - ""Extra Ordinary""",We're Through,The Hollies,1U5MA1a9ks3mnJXiFWH47r,0.6,0.837,D,-6.444,FALSE,0.057,0.376,0,0.144,0.908,93,4,YES
N/A,There's Nothing Holdin' Me Back,Shawn Mendes,79cuOz3SPQTuFrp8WgftA,0.857,0.8,D,-4.035,NA,0.0583,0.381,0,0.0913,0.966,121,4,NO
"Lucifer S4E3 - ""O, Ye of Little Faith, Father""",Haunted,Adona,0ggdUU9CzynaJYu9sls52G,0.279,0.275,C,-15.071,TRUE,0.0335,0.39,0.265,0.068,0.0486,147,4,YES
N/A,Reggaetón Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTf,0.761,0.838,E,-3.073,NA,0.0502,0.4,0,0.176,0.71,93,4,NO
N/A,Starving,Hailee Steinfeld,6875MeXyCW0wLyT72Eetm,0.721,0.626,E,-4.2,NA,0.123,0.402,0,0.102,0.558,99,4,NO
N/A,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsua,0.72,0.763,A,-4.068,NA,0.0523,0.406,0,0.18,0.742,101,4,NO
N/A,Issues,Julia Michaels,6D0b04NJIKfEMg040WioJ,0.706,0.427,"G♯,A♭",-6.864,NA,0.0879,0.413,0,0.0609,0.42,113,4,NO
N/A,Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTV,0.748,0.524,"G♯,A♭",-5.599,NA,0.0338,0.414,0,0.111,0.661,95,4,NO
"Euphoria S1E1 - ""Pilot""",I'm Gone,"Jozzy, Tommy Genesis",0UsD5SCb1OPZQ6tXJxeFA3,0.852,0.723,F,-4.008,FALSE,0.0713,0.417,0,0.108,0.326,85,4,YES
"Grey's Anatomy S15E19 - ""Silent All These Years""",Everywhere Ghosts Hide (feat. UN,Erin McCarley,4zfTTwE7QDS4tVAYtJV8WH,0.271,0.382,C,-7.936,TRUE,0.0419,0.424,0.0921,0.0872,0.036,145,4,YES
"Grey's Anatomy S15E11 - ""The Winner Takes It All""",Hold On,The Rescues,3TtCkRuu4MhZU9f6Bgyjqt,0.295,0.414,"D♯,E♭",-11.063,FALSE,0.0402,0.427,0.00025,0.0909,0.122,122,4,YES
N/A,Body Like A Back Road,Sam Hunt,7mldq42yDuxiUNn08nvzH,0.731,0.469,F,-7.226,NA,0.0326,0.463,0.000001,0.103,0.631,98,4,NO
"Sex Education S1E1 - ""Episode 1""",Dr Jekyll & Mr Hyde,Ezra Furman,5C1sp58a5g9a4YZanB81Vi,0.534,0.462,E,-7.717,TRUE,0.0264,0.47,2.49E-06,0.0967,0.272,101,4,YES
"Euphoria S1E2 - ""Stuntin' Like My Daddy""",Still Don't Know My Name,Labrinth,6N22FZs2ZhPBYi3b9XPajV,0.314,0.63,F,-5.963,TRUE,0.116,0.471,0.266,0.205,0.312,88,1,YES
"Sex Education S1E7 - ""Episode 7""",Tired of Being Alone,Al Green,3Ke6bQZOOLYvXTkTpHuhrp,0.744,0.302,G,-13.526,TRUE,0.0443,0.518,0.000187,0.0917,0.619,98,4,YES
"Euphoria S1E6 - ""The Next Episode""",Smalltown Boy,Bronski Beat,0FrCX7P2C2hcRTcuhjEvK4,0.679,0.564,"A♯,B♭",-11.247,TRUE,0.0267,0.529,0.0709,0.275,0.926,134,4,YES
"Euphoria S1E3 - ""Made You Look""",Work,Charlotte Day Wilson,42YrWn7KYjhJ2GfjTJ3HSY,0.666,0.296,"C♯,D♭",-8.219,TRUE,0.0286,0.533,0.25,0.0768,0.15,130,3,YES
N/A,I Like Me Better,Lauv,1wjzFQodRWrPcQ0AnYnvQ,0.752,0.505,A,-7.621,NA,0.253,0.535,0.000003,0.104,0.419,91,4,NO
"Lucifer S4E9 - ""Save Lucifer""",The End,Klergy,4b7hM5zVEYICRZYa1PvIf0,0.476,0.47,G,-8.893,FALSE,0.0365,0.577,0.0185,0.112,0.244,148,3,YES
N/A,Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI,0.825,0.652,"C♯,D♭",-3.183,NA,0.0802,0.581,0,0.0931,0.931,95,4,NO
N/A,Hear Me Now,Alok,1a5Yu5L18qNxVhXx38njO,0.789,0.442,B,-7.844,NA,0.0421,0.586,0.00366,0.0927,0.45,121,4,NO
"Euphoria S1E7 - ""The Trials and Tribulations of Trying to Pee While Depressed""",I'm Not In Love,Kelsey Lu,7InHgiDyJ0GtvnIVslWNPK,0.191,0.441,E,-13.191,TRUE,0.0751,0.588,0.0993,0.11,0.0409,86,3,YES
"Euphoria S1E4 - ""Shook One Pt. II""","I colori di dicembre (From ""Don'",The Bulgarian Symphony Orchestra,3cYNdDqNBEdUaHGZGGtfPy,0.187,0.109,"G♯,A♭",-20.165,FALSE,0.0416,0.595,0.906,0.207,0.0361,116,4,YES
"Sex Education S1E2 - ""Episode 2""",F**K All the Perfect People,"Chip Taylor, The New Ukrainians",2DFD0Zga3HBwMHIpGnsZJz,0.571,0.263,C,-13.22,TRUE,0.0317,0.6,0.00244,0.146,0.104,111,3,YES
"Lucifer S4E4 - ""All About Eve""",Pretty Fool,Beasts With No Name,6LBWmEnLabx2ZQ6iafuN9U,0.534,0.779,B,-5.234,TRUE,0.0446,0.601,0.000966,0.189,0.687,146,4,YES
"Euphoria S1E2 - ""Stuntin' Like My Daddy""",Fly Me To The Moon (In Other Wor,Bobby Womack,3V2SNCBu9A62TmNeWhiygE,0.604,0.34,"D♯,E♭",-15.89,TRUE,0.0361,0.607,0.0465,0.102,0.694,114,4,YES
"Sex Education S1E1 - ""Episode 1""",Love You So Bad,Ezra Furman,5141H4ftZMaTJIuMOhJ5J3,0.873,0.431,A,-14.56,TRUE,0.0965,0.615,0.0276,0.104,0.749,135,4,YES
"Grey's Anatomy S15E19 - ""Silent All These Years""",I Won't,Richard Walters,0d8ecVQ21crDPnkOmstmig,0.469,0.373,A,-7.98,FALSE,0.0437,0.617,2.21E-06,0.126,0.239,154,4,YES
"Lucifer S4E7 - ""Devil Is as Devil Does""",Caught in the Fire,Klergy,15mbNyhZQdGkG7Z0J1DcUP,0.51,0.43,A,-10.597,FALSE,0.0428,0.624,0.0603,0.111,0.0888,127,4,YES
"Sex Education S1E1 - ""Episode 1""",Mannish Boy,Muddy Waters,0rFO7lAmgl8IaxCfZ5DreP,0.633,0.335,D,-13.42,TRUE,0.0822,0.642,0,0.0974,0.563,108,3,YES
N/A,Too Good At Goodbyes,Sam Smith,1mXVgsBdtIVeCLJnSnmtd,0.698,0.375,F,-8.279,NA,0.0491,0.652,0,0.173,0.534,91,4,NO
